Day	Environment	Os	Campaign ID	Campaign Optimization	Campaign Type	Context IDs Eligible	Number of displays	Number of clicks	Criteo Revenue	Criteo Cost
2019-10-13	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	11487	199	1.2234675844870508	0.6359363003742066
2019-10-16	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-08	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-11	web	Mac OS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	2102	21	1.3927217086702586	0.842205612937797
2019-10-16	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-23	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-07	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-09	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-06	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-10	web	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	945729	3958	929.0299706045034	539.3675747684415
2019-10-11	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	91757	761	67.85983108210564	37.565518681494765
2019-10-27	app	iOS	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-11-06	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-19	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-25	web	Windows	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
2019-10-23	app	Android	194439	Visit Optimization	MID FUNNEL CUSTOM	0-6,10	0	0	0.0	0.0
